,x,y,target,gmm_cluster,km_cluster
0,25.443532943725586,-22.212825775146484,2.0,3.0,1.0
1,3.2459657192230225,1.7617558240890503,2.0,3.0,0.0
2,12.303691864013672,5.890665054321289,1.0,0.0,0.0
3,-2.8799216747283936,28.77988052368164,3.0,0.0,0.0
4,45.543487548828125,-19.450443267822266,2.0,2.0,1.0
5,0.4761964976787567,6.355348110198975,3.0,0.0,0.0
6,8.47867488861084,4.203361511230469,3.0,3.0,0.0
7,-12.460002899169922,0.8486143350601196,3.0,1.0,2.0
8,-5.102659225463867,17.426197052001953,3.0,1.0,2.0
9,47.59182357788086,-16.890865325927734,1.0,2.0,1.0
10,-11.973522186279297,23.767480850219727,3.0,1.0,2.0
11,-14.271431922912598,23.995607376098633,3.0,1.0,2.0
12,-5.907132625579834,4.444214344024658,1.0,1.0,2.0
13,1.3293336629867554,1.081276535987854,1.0,3.0,0.0
14,-9.169907569885254,5.445362091064453,1.0,1.0,2.0
15,16.223764419555664,21.38965606689453,2.0,0.0,0.0
16,5.838039875030518,41.447418212890625,3.0,1.0,2.0
17,42.154258728027344,-14.528824806213379,3.0,0.0,1.0
18,13.481368064880371,31.33833885192871,2.0,0.0,0.0
19,-0.7366272211074829,-12.169815063476562,3.0,3.0,6.0
20,-24.367753982543945,30.39454460144043,3.0,1.0,2.0
21,-12.045355796813965,-0.024985451251268387,2.0,1.0,2.0
22,-11.296342849731445,-13.217105865478516,3.0,1.0,2.0
23,-51.57160949707031,-5.787103176116943,2.0,4.0,3.0
24,1.2122166156768799,0.9427775144577026,1.0,1.0,2.0
25,-16.336721420288086,13.885298728942871,3.0,1.0,2.0
26,7.034135818481445,-2.7580134868621826,1.0,3.0,6.0
27,13.816018104553223,27.803651809692383,2.0,0.0,0.0
28,24.04300880432129,-33.632232666015625,1.0,2.0,1.0
29,-48.17153549194336,-4.2280778884887695,1.0,4.0,3.0
30,44.575111389160156,-22.121131896972656,3.0,2.0,1.0
31,22.14799690246582,-24.77626609802246,2.0,3.0,1.0
32,-14.631367683410645,2.351182460784912,1.0,1.0,2.0
33,-48.2126350402832,-7.887996196746826,3.0,4.0,3.0
34,-55.74355697631836,-3.2171764373779297,2.0,4.0,3.0
35,24.839216232299805,-26.111616134643555,1.0,3.0,1.0
36,45.3122673034668,-20.4979305267334,2.0,2.0,1.0
37,-13.682796478271484,-4.129406929016113,1.0,1.0,2.0
38,10.77275562286377,8.708199501037598,3.0,0.0,0.0
39,-23.668855667114258,15.755650520324707,1.0,1.0,2.0
40,-0.647270917892456,-12.1143159866333,3.0,3.0,6.0
41,-1.772156000137329,13.056939125061035,1.0,0.0,0.0
42,14.202280044555664,34.53938293457031,2.0,0.0,0.0
43,3.142486095428467,3.4151318073272705,2.0,3.0,0.0
44,-23.035850524902344,13.260976791381836,3.0,1.0,2.0
45,8.189802169799805,-0.1894942820072174,2.0,3.0,6.0
46,-53.991817474365234,-5.110389232635498,3.0,4.0,3.0
47,-54.83510208129883,-9.856800079345703,3.0,4.0,3.0
48,-3.0775609016418457,28.871374130249023,2.0,0.0,2.0
49,9.334081649780273,-5.656639575958252,1.0,3.0,6.0
50,3.9063565731048584,-3.6480531692504883,2.0,3.0,0.0
51,-27.535385131835938,18.86336326599121,1.0,1.0,2.0
52,-0.4052722752094269,-5.390082359313965,3.0,3.0,6.0
53,10.908791542053223,-8.821391105651855,1.0,3.0,6.0
54,8.31210708618164,4.734439849853516,3.0,3.0,0.0
55,13.44762134552002,14.620529174804688,2.0,0.0,0.0
56,15.605998039245605,22.281383514404297,2.0,0.0,0.0
57,14.643682479858398,30.201650619506836,2.0,0.0,0.0
58,19.082822799682617,-27.933570861816406,1.0,3.0,1.0
59,0.7680443525314331,16.37077522277832,3.0,0.0,0.0
60,39.90463638305664,-31.880178451538086,1.0,2.0,1.0
61,27.38356590270996,-32.224185943603516,1.0,2.0,1.0
62,-38.11024856567383,-27.843782424926758,2.0,4.0,5.0
63,8.864526748657227,6.872653484344482,2.0,0.0,0.0
64,26.425561904907227,-32.00917053222656,1.0,2.0,1.0
65,-7.501715660095215,17.142608642578125,3.0,1.0,2.0
66,-7.494090557098389,4.948328495025635,1.0,1.0,2.0
67,-55.463619232177734,-9.23340892791748,2.0,4.0,3.0
68,10.243109703063965,18.974637985229492,3.0,0.0,0.0
69,14.918340682983398,32.91786575317383,2.0,0.0,0.0
70,25.601482391357422,-22.141101837158203,3.0,3.0,1.0
71,46.26387023925781,-21.329261779785156,1.0,2.0,1.0
72,-55.33877182006836,-6.502907752990723,1.0,4.0,3.0
73,-47.959163665771484,-9.170722007751465,3.0,4.0,3.0
